,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
131,131,1633,382,142,0.0123,0.0046,706.9,1028.74,13.1,0.01,4.62,0.1132,109,0.0727,0.8158,100,0.0595,A
132,132,1676,316,198,0.0138,0.0042,836.53,1059.78,24.75,0.01,17.29,0.1065,152,0.083,0.8142,166,0.0685,A
133,133,1773,378,169,0.0123,0.0046,889.75,1027.31,13.87,0.006826044,5.29,0.0948,104,0.085,0.8095,104,0.0959,A
134,134,1296,300,192,0.013999999999999999,0.0041,760.9,1006.87,30.64,0.01,26.29,0.1328,193,0.0785,0.8038,182,0.0643,A
135,135,1296,300,192,0.013999999999999999,0.0041,791.04,1006.87,30.64,0.01,26.29,0.1328,193,0.0785,0.8038,182,0.0643,A
136,136,1062,315,104,0.0132,0.0043,866.75,1035.75,41.65,0.01,55.24,0.19899999999999998,150,0.0492,0.8029,156,0.0175,A
137,137,1062,315,104,0.0132,0.0043,791.04,1035.75,41.65,0.01,55.24,0.19899999999999998,150,0.0492,0.8029,156,0.0175,A
138,138,1574,316,117,0.0137,0.0044,819.2,1119.82,19.99,0.00828,13.32,0.1772,125,0.0582,0.8028,96,0.0721,A
139,139,1574,316,117,0.0137,0.0044,791.04,1119.82,19.99,0.00828,13.32,0.1772,125,0.0582,0.8028,96,0.0721,A
140,140,1374,368,131,0.013000000000000001,0.004,793.48,1020.91,15.92,0.01,7.36,0.1921,95,0.053,0.7908,112,0.0231,A
141,141,1279,383,171,0.0121,0.0048,838.25,1025.35,16.44,0.01,8.1,0.0813,209,0.0924,0.7875,180,0.0718,A
142,142,1508,353,154,0.0147,0.0048,875.6,1169.39,27.06,0.006634399,19.57,0.11599999999999999,199,0.0873,0.7846,188,0.1056,A
143,143,1667,372,134,0.0121,0.0044,781.17,1017.69,44.57,0.00680423,54.45,0.1163,75,0.0626,0.7833,87,0.0314,A
144,144,1667,372,134,0.0121,0.0044,791.04,1017.69,44.57,0.00680423,54.45,0.1163,75,0.0626,0.7833,87,0.0314,A
145,145,1499,344,101,0.0135,0.0051,853.2,1065.02,46.45,0.01,69.91,0.1337,132,0.0664,0.7825,142,0.0553,A
146,146,1361,316,160,0.0129,0.005,821.82,1021.69,16.04,0.01,7.47,0.0912,244,0.092,0.7823,239,0.067,A
147,147,1757,342,132,0.0142,0.0051,743.83,1004.31,25.4,0.01,20.71,0.109,147,0.0862,0.7818,128,0.0618,A
